,final_cleaned_text,sentiment_polarity,sentiment
18,negara gagal polisinya ngurusin mbg penegak hukumnya ga di perhatikan,-0.5,negatif
19,kebijakan yg tepat karena mbg itu targetnya lebih luas dan lebih bermanfaat sehingga banyak rakyat indonesia merasakan manfaatnya,0.3964285714285714,positif
20,anak sma udah dikasi mbg kenyang eehh pulang pulang malah tawuran,0.175,positif
21,mbg tunggu kepala daerah terpilih dilantik,0.0,netral
22,utk tingkatkan sdmsebaiknya mbg diganti saja dng pendidikan gratistis pakdaripada mbg banyak masalahnyarakyat tidak ada masalah kalo sekolah gratis dg fasilitasnya lengkap,0.31666666666666665,positif
23,semua harus direncanakan dengan baik,0.0,netral
24,dari lama udah ada ketahanan pangan malah ada mbg berarti gak efektif itu program ketahanan pangannya,-0.175,negatif
25,populasi indonesia yang memprioritaskan mbg daripada pendidikan dan kesehatan,0.0,netral
26,iya plis ya allah penasaran bgt banyak kebijakan even kek dari bu srimulyani yg mindblowing penasaran sm pas rapatnya tuh gimana sih seplongaplongo itu apa gmn ya pdhl kalo mbg tuh menurutkugt,0.07500000000000001,positif
27,foodfess nih bukan mbg kan,0.2857142857142857,positif
28,mari dukung program pemerintah makan bergizi gratis membantu anakanak di papua untuk tumbuh cerdas dan sehat makanbergizi giziindonesia makangratis gizi mbg,0.37857142857142856,positif
29,mari dukung program pemerintah makan bergizi gratis membantu anakanak di papua untuk tumbuh cerdas dan sehat makanbergizi giziindonesia makangratis gizi mbg,0.37857142857142856,positif
30,buzzr punya kebiasaan cm share gambar bukan link karena biar gampang terpancing judul tanpabacs beritanya trus maki pekerjaan paling asw adalah buzzr krn tiap hari kerjaannya menghasut dan memprovokasi orang,0.43333333333333335,positif
31,foodfess menu mbg,0.0,netral
32,prioritas utama mbg tapi pas diliat realisasi mbg kek ngak layak lalu apakabar nanti pendidikan dan kesehatannya apa masih layak,0.16666666666666666,positif
33,sagitaninta anggaran mbg pas bulan puasa hemat berapa ya lumayan buat nambah tukin dosen haha,0.3,positif
34,twillightloid merah shg srg denger model pembayarannya plus gak percaya sm kredibilitas program mbg ini saya ga mau untung ngikut kata hati kasian kl sampe kejadian ikut nombok gede gini saya bakalan ngrasa bersalah banget,-0.27999999999999997,negatif
35,adiprayitno kemarin sempat viral yg katanya akan import sapi ratusan ribu bahkan jutaan buat mensukseskan program mbg sekarang serangga jadi alternatif apa ada niat mau import serangga juga entahlah,0.3,positif
36,foodfess kyk mbg yah,0.0,netral
37,tempodotco jangankan nyawa pak menyisihkan harta untuk program makan siang gratis aja ogah rekayasa bukti paling depan mereka makan menu seadanya tapi wapres bapak kemana mana pakai dana operasional buat bagi bagi bansos lah mending buat mbg lebih terfokus,0.2866666666666667,positif
38,drag him mbg,-0.1,negatif
39,twillightloid pas kapan suami dpt info dr tmnnya di sebuah organisasi ttg tawaran jadi vendor mbg dia sempet ngide spy saya nawarin kenalan baik yg kbtulan biasa masak utk ngajuin nama maksudnya biar sesekali bs dpt cuan gede nah krn sy dlu pernah bbrp kali ngikut proyekan yg kliennya plat,0.175,positif
40,kok bisa sih pemikirannya makan makan mulu sampe pendidikan dikesampingkan sejauh ini mbg juga kek gk ada gizi gizinya cuma sekeda makan isi perut udah,0.05,positif
41,foodfess antek antek mbg,0.0,netral
42,twillightloid klo gak dibayar ya mmg susah mau nyediain makanan gaada modal trus bahannya mbg apa bisa ngutang dulu,-0.020833333333333343,negatif
43,dsyantie terutama yg dilapangan yg menyediakan mbg harus dibenahi spy makanan biarpun sederhana tapi higienis makanan juga hrs dicuci bersih dan dimasak matang bukan setengah matang jgn sampe anak sekolah keracunan makanan krn pengolahan dilakukan secara sembrono,-0.033333333333333326,negatif
44,di hadapan listyo pamer program mbg yang dilakukan tnipolri,0.0,netral
45,benci banget mbg udah makanan yg dikasi gak layak sumber dananya hasil motong anggaran sana sini makan tuh gemoy,-0.44166666666666665,negatif
46,twillightloid si palkon buzzer mbg ma si wowo suruh bayarin,0.0,netral
47,twillightloid sdh dr awal saya posting umkm jangan ambil project mbg akan rugi besar kena pajak penghasilan pembayaran tempo bulan,-0.07291666666666666,negatif
48,sabar pak melihat ambisi presiden sejauh ini cuma mbg mungkin harus menunggu rezim baru tp semoga sadar presiden sekarang,0.11818181818181818,positif
49,twillightloid pesen nasi box ayam goreng aja kudu bayar dp duluan paling lambat h pas nasi box dianterin harus langsung bayar pelunasanya lah mbg,0.0074074074074074086,positif
50,ngga harusnya yg utama mbg itu pendukung,0.20833333333333331,positif
51,wkwkw udah ketebak banget event reguler aja kalo yg order dr instansi govt bayarnya selalu telat padahal udah jelas ada budgetnya apalagi mbg yg masih nyari budget,-0.019999999999999997,negatif
52,thebadkop foodfess ini kan mbg,0.2857142857142857,positif
53,perspektifku pas jadi mahasiswa gizi ikutan proyek taburia pemerintah memang diriku juga kudu modal ongkos pribadi lama diganti honorku semester depan gitu juga vendor mbg di lokasiku makan bergizi gratis keadaannya begini di daerahmu gimana kalau lancar alhamdulillah ya,0.125,positif
54,biaya produksi per bulan m suruh keluar modal dulu tapi gak jelas kapan mau dibayar itu baru sebulan lho,0.06666666666666667,positif
55,anggadwia disini juga sama pak datangnya dari level organisasinya bukan pemerintah bedanya disini masih bisa dirayakan pake mbg aja sih,0.175,positif
56,farazh yang jelas bukan mbg,0.0,netral
57,pln sebagai bumn terus mendukung penuh program makan bergizi gratis mbg dari pemerintah ini dengan memastikan pasokan listrik andal di titik satuan pelayanan pemenuhan gizi sppg di provinsi astacitapemerintah makanbergizigratis anakgenerasiemas plndukungmbg,0.4,positif
58,cak imin tanggapi wacana umkm diberikan modal juta pada program mbg via tabloid nusantara ekonomiberkelanjutan,0.0,netral
59,ini msh mbg gimana nanti pkg ya alamat puyeng nih,0.0,netral
60,mbg down bad omg,-0.6999999999999998,negatif
61,sastropecel twillightloid lewat kementrian secara langsung apa bisa lebih baik wong itu tempatnya tikustikus lapar bisabisa ngasih paket mbg laporannya paket,0.3,positif
62,gue paham ketahanan pangan tuh penting tapi mbg bisa diapus aja ga kesehatan ama pendidikan tuh nomer harus didahulukan kepentingan utama dan mendesak ya faktor itu kok bisa negara yg punya penduduk juta ini menjadikan kesehatan dan pendidikan jadi pendukung aja,0.2722222222222222,positif
63,thebadkop foodfess mbg ini mah awas bilang gak enak gw tabok lu pake palanya dedi,-0.3,negatif
64,buat adikadik mari kita ikuti kids day competition catat tanggalnya minggu februari start di jam wita di mbg extension lantai malbaligaleria familymall kidsdaycompetition,0.0,netral
65,program mbg sukses di hari pemerintahan prabowogibran generasi muda semakin kuat dan sehat makanbergizigratis,0.2333333333333333,positif
66,oscardarmawan apa hebatnya tiru dong konoha ada program mbg makanan beracun gratis makan belalang gratis makanan basi gratis lima tahun lagi akan lahir generasi tangguh sprti hulk dan spiderman,0.32222222222222224,positif
67,twillightloid kemaren baru aja yang ngomong di base pns pengurangan anggaran gedean di kl buat program mbg ini,-0.4,negatif
68,terjaehyunism foodfess tinggal susu buah cocok buat mbg gibrantweet,0.55,positif
69,foodfess mending ini sih ada keliatan gizinya ketimbang mbg gibrantweet,0.5,positif
70,tanyarlfes lah iya ya skala prioritasnya kebalik ngga sih prioritas utama kesehatan dan pendidikan yang didukung dengan adanya mbg ketahanan pangan energi dll gimana mbg mau jalan kalau ngga ada pendidikan kan,0.22619047619047616,positif
71,pln sebagai bumn terus mendukung penuh program makan bergizi gratis mbg dari pemerintah ini dengan memastikan pasokan listrik andal di titik satuan pelayanan pemenuhan gizi sppg di provinsi astacitapemerintah makanbergizigratis anakgenerasiemas plndukungmbg,0.4,positif
72,mbg boleh dimulai pelan secara perlahan cth dimulai dari sd ya walaupun pasti nanti ada kecemburuan sosial tapi ya mau bagimana lagi jalanin aja kayak sekolah gratisprogram wajib belajar th th th,0.08666666666666666,positif
73,kompascom t buat sekolah gratis renovasi gedung amp fasilitas sekolah di seluruh indonesia terutama daerah pelosok masih lebih berasa manfaatnya drpada mbg kenyang sesaat ga bikin anak jadi lebih pinter,0.2333333333333333,positif
74,program mbg makan bergizi gudang garam,0.0,netral
75,mindspeaklouder betul bgt banyak yg harus diperbaiki dan dievaluasi dari mbg khususnya saat ini rakyat butuh kebijakan yang bisa menjangkau semua rakyat,0.1,positif
76,wkwkw iyalagi kepikiran ada yg interupsi ga ya seharusnya mbg itu program pendukung supanya kesehatan nya baik dan pendidikan nya maju ini bisabisanya kesehatan dan pendidikan jd prioritas pendukung pdhl mbg itu instrumen agar terciptanya kesehatan dan pendidikan yg baik,0.3999999999999999,positif
77,rrww foodfess kemewahan ga si mbg dpt ayam satu potong kek gt wkwkwk,-0.19999999999999998,negatif
78,jelas mbg lebih penting dibanding sektor pendidikan dan kesehatan kalau mbg nya dibatalkan yg ada kepercayaan masyarakat terhadap pemerintah skrg akan turun citra itu harus mereka jaga bagaimanapun cara meski mengorbankan hal penting,0.2333333333333333,positif
79,bettermezszv fiantora lebih enaknya mbg di switch sama pendidikan emg spt mimpi siang bolong buat mbg teh,0.3333333333333333,positif
80,idiot bgt mbg prioritas utama,-0.18333333333333335,negatif
81,emang dari awal harusnya gak ada yg namanya program mbg lebih banyak ruginya daripada manfaatnya,0.39999999999999997,positif
82,twillightloid tadi liat vt ada korupsi di program mbg ini udh ketebak sih pemerintah daerah agak ga mungkin kalo ga nilep duit,-0.3333333333333333,negatif
83,btw sodaraku cerita di sekolahnya pernah dapet mbg yg bau pisang wkwkwkwkwk kayanya karena pas makanannya masih panas udah dimasukin itu buah jadi aromanya tersebar ke setiap dish dia dan tementemennya keburu ilfil duluan,0.2333333333333333,positif
84,saya orang perencanaan dan gambar ini ngaco sengaconya mbg itu tujuan utamanya supaya anak sehat mbg itu cuma metode untuk mencapai tujuan tadi kenapa malah mbg yang jadi prioritas utama ini yang bikin paparan siapa dah,0.15166666666666667,positif
85,before mbg diperlukan karena viral ada anak sd bawa bekel ulat sagu ke sekolah after mbg x belalang dan ulat sagu,0.3,positif
86,icaaliezz tak kiro mbg wis upgrade,0.0,netral
87,niatannya mungkin baik tapi kalau caranya kacau ya jadi kacau semua pengalaman jadi guru terbaik bak bunuh diri apabila memaksakan diri jadi mitra program mbg,0.6333333333333333,positif
88,areinismyname propaganda fdonghun ericricaldo florieliciouss bitcarli kimberleyps iamzelt hasball ndonsback disekolah smpn anakku tiap jumat disuruh bawa bekal sendiri informasinya akan dapat jatah mbg bulan sekali,0.06666666666666665,positif
89,koalisi gendut kalo mbg cuma buat validasi omongan presiden lu doang tapi bikin semua ancur mah kata gue mundur aja gausah egois gausah batu,-0.35,negatif
90,wisanggeni baru kali ini ada wapres kerjanya klo gak liat anak² di sekolah mbg atau selvi² di pasar,0.25,positif
91,yg prioritas utama nih buat ngenyangin koalishit mereka ga sih mbg gt ya u know la kthnn pangan gt fut estet kthnn energi gt tambeng perumahan gt adeknya wowo gencar bener dr awal mslh ini prthnan keamanan gt yaela kombi coklat sm loreng,0.3646258503401361,positif
92,banyak lho tagihan berbagai vendor kl macet sd hari ini di periode sebelumnya somasi sd gugatan pkpu terus diupayakan vendor tsb salah banyaknya bisa dicek dari tl bang brorondm mitra mbg nyusul,-0.2222222222222222,negatif
93,kalo anggaran ya bagus sdh pasti diambil ternak ya mulyono bak bunuh diri apabila memaksakan diri jadi mitra program mbg inilahcom inilahdotcom,0.1333333333333333,positif
94,well mending tu program diganti yang lain atau diregulasi ulang at least the renewal program doesnt increase food waste yang malah menyebabkan kerawanan pangan gimana ketahanan pangan mau tercapai kalo mbg aja kebutuhan susunya masih impor dan food waste tinggi,-0.008000000000000002,negatif
95,wallahi capek mbg aja ningkatin food waste meanwhile food waste sendiri salah satu indikator ketahanan pangan u better prioritize edu n health bcz selain food waste pendidikan juga termasuk indikatornya,-0.1,negatif
96,dokter tan pernah bilang kalau stunting itu dicegah bukan dikurangi ini berarti mbg sama sekali ga relevan klo dikaitkan sama isu stunting alias mbg itu bukti nyata penggunaan anggaran yg sgt tidak efisien,-0.06666666666666667,negatif
97,andradp sebelum ke mbg aku penasaran sama kajian ttg multiplier effect dari subsidi kayak subsidi bbm dan pupuk kayak sebuah common sense aja di aku kalau barang yang manfaatnya pendek itu pasti multiplier effectnya gak banyak hal serupa bisa berlaku ke mbg,-0.10833333333333334,negatif
98,indomykriuk foodfess kenapa mbg ukuran porsi nya ga kaya gini ya,0.0,netral
99,mbg noh gagal,-0.5,negatif
100,positif wong dikasih kerjaan ngurus catering mbg,0.22727272727272727,positif
101,widassatyo plis itu mbg mending di hapus aja njir,0.5,positif
102,inilahdotcom maklum belum cair anggarannya jadi di utang dulu aja ya bayar mbg nya nanti jg dibayar kok,0.125,positif
103,bebeqmadura kak lu sakit apa gws yaw btw makanannya gua kira mbg,-0.7142857142857143,negatif
104,vgl sudah kuduga selain masalah kekurangan jatah mbg masalah mutukebersihan mbg yaitu masalah makelar proyek mbg,0.0,netral
105,ketua dpr ri ajak masyarakat dukung pemerintah sempurnakan program makan bergizi gratis mbg makanbergizigratis program pemerintah,0.2,positif
106,mbg mbg mbg mulu pendidikan dan kesehatan diperhatiin oi,0.0,netral
107,sebut saja sebagai program yg tidak berfaedah hanya memboroskan anggaran berpeluang sebagai ladang korupsi amp berpotensi merugikan banyak pihak,-0.033333333333333326,negatif
108,joshgrobax twillightloid lho padahal katanya smpe ngutang k negeri cina lho buat mbg,0.0,netral
109,foodfess enak bgt yaa aku dulu bgini tapi ya lumayan sii walau wadahhya kaya mbg maklum bpjs,0.50625,positif
110,nggak usah sumpah hentikan mbg,0.0,netral
111,sy hornat dgn pak presiden krn beliau yg memikirkan generasi bangsa kedepan dgn program mbg coba sejak era soeharto mungkin bangsa kita sdh pintar dan maju pola berfikirnya,-0.04642857142857143,negatif
112,lawak kesehatan dijadiin prioritas pendukung nanti orang ada yg keracunan tu mbg trs pake bpjs gak bisa lagi uang yg menjamin buat fasilitas kesehatan malah buat mbg aneh matiin aja semua orang kalo gitu,0.0,netral
113,kementerian umkm mengusulkan agar umkm yang menjadi mitra makan bergizi gratis mbg dapat akses permodalan sebesar rp juta,0.4,positif
114,ketua dpr ri ajak masyarakat dukung pemerintah sempurnakan program makan bergizi gratis mbg makanbergizigratis program pemerintah,0.2,positif
115,yallobe apa coba yang mau diutamakan dari mbg kalo kesehatan bukan prioritas utama,0.16666666666666666,positif
116,bapaente twillightloid tanpa mbg emg ada lagi misi visi om wowo,0.0,netral
117,sahar maguyboughosn ماغيبوغصن,0.0,netral
118,tiktactwo foodfess kalo bpjs biasanya piringnya kek wadah bekal mbg,-0.25,negatif
119,mbg ini memang nggak tepat sasaran,0.2,positif
120,nowyoucatchme pnsababil ini chart aneh tapi bisa dimengerti melihat komposisi kepentingan penguasa yang utama itu rambah hutan pangan buka tmbg batubara energi buka lahan perum sama multifungsi abri keamanan mgkn potensi korup juga mbg,0.02333333333333333,positif
121,refleksi awal tahun piki menjaga kedaulatan pangan dan energi untuk indonesia emas refleksiawaltahun piki kedaulatanpangan ketahananenergi indonesiaemas panganuntuknegeri energiberkelanjutan mbg foodestate energiterbarukan,0.1,positif
122,mikrowavee tanyarlfes kalau mbg nya di pelosok mah gapapa lah diperkotaan ngapain bjir mana semua siswa dapet yg kaya makin kaya dapet mbg yang menengah kebawah makin melorot,0.0625,positif
123,diskopum jember belum peroleh informasi dukungan pembiayaan program mbg untuk umkm,0.0,netral
124,buat apaan prioritas utama mbg kalo disuruh makan ulet mending pendidikan sama kesehatan,0.125,positif
125,bayangan gw mbg tuh kayak gini cuma yang bakso kurang sayur sih,0.0,netral
126,jam pelajaran dipotong buat waktu mbg rill fakta di lapangan,0.2,positif
127,tirtoid sri mulyani tambah anggaran program mbg rp t halah tagihan vendor aja belum pada dibayar,0.0,netral
128,ketawa bgt liat komen anak sekolah buat mbg makan nasi sama telor diacakacak,0.7,positif
129,broerkawengian twillightloid bukannya sekolah udah gratis ya tapi setuju sih mbg lebih baik ditinjau ulang sudah keliatan terlalu dipaksakan,0.19999999999999998,positif
130,pisang si unyil kita mbg bersama pisang si unyil kita mbg bersama pisang si unyil,0.0,netral
131,deadblop lebih mewah dari mbg,0.5,positif
132,twillightloid kata gua udh paling bener udahin aja program mbg ini gabakal bener banyak tikusnya,0.24285714285714285,positif
133,panglima hasil perkebunan tni akan digunakan untuk bahan dasar mbg,0.0,netral
134,pln sebagai bumn terus mendukung penuh program makan bergizi gratis mbg dari pemerintah ini dengan memastikan pasokan listrik andal di titik satuan pelayanan pemenuhan gizi sppg di provinsi astacitapemerintah makanbergizigratis anakgenerasiemas plndukungmbg,0.4,positif
135,kapolri polritni solid dukung program mbg,0.0,netral
136,anggaran yang keluar buat mbg juga siasia dong kalo gitu kenapa enggak mempertimbangkan sampai kesini ya,-0.15000000000000002,negatif
137,dari program mbg ini kita bisa lihat loh bahwa banyak banget hal yang harus dipertimbangkan dan menurutku ruwet kenapa orang dewasa aja masih milih buat makanan apalagi anak sekolahan aku pun yang udah gede masih pilih pilih nasi kalo enggak di makan pun kan mubazir,-0.1777777777777778,negatif
138,retnosetyowt twillightloid moga² ajah klem pembayarannya lancar gak di bikin muter² ama orang bgn mbg,0.4,positif
139,mantap program mbg benerbener nyata hasilnya,0.5,positif
140,laskarpnguin twillightloid iya kan vendor supply dulu ke sekolah nanti invoice diragukan ke pemerintah pihak yg megang mbg ini mas,-0.275,negatif
141,berikut adalah prosedur penanganan makanan yang tidak layak konsumsi pada program makan bergizi gratis di sekolah program mbg merupakan salah satu bentuk solusi atas,0.06666666666666667,positif
142,logbook harianne isine memantau mbg memantau mbg memantau mbg dadi wak satpam ae pie,0.0,netral
143,berikut ini adalah pertanyaan yang sering muncul atau faq tentang program makan bergizi gratis mbg faq tentang program makan bergizi gratis ini berisi tanya jawab,0.225,positif
144,program makan bergizi gratis mbg menjadi langkah strategis dalam menyongsong indonesia emas program makan bergizi gratis adalah salah satu upaya dalam mewujudkan visi presiden,0.4,positif
145,gw kalo diinterview suru review mbg,0.0,netral
146,gue ga tau lagi gimana masa depan negara ini mbg sama perumahan jadi prioritas sedangkan pendidikan dan kesehatan pendukung apa cb urgensinya,0.0,netral
147,retnosetyowt twillightloid kakaknya temen gw ditawari jadi penyedia mbg buat porsi per hari tp pake modal sendiri dulu byr tiap bulan untungnya mertua gak ngijinin kata nya join ama pemerintah bayarnya pasti ribet potong ini itu kebayangkan xrbxhari jt kl bayarnya berbelit²,0.013888888888888895,positif
148,gt malah program mbg jd prioritas utama pendidikan sm kesehatan jd pendukung,0.16666666666666666,positif
149,wacana serangga sebagai opsi menu makan bergizi gratis mbg yang diusulkan badan gizi nasional belakangan ini berhasil menyita perhatian dan menjadi perbincangan hangat di masyarakat pernyataan ini memunculkan diskusi tentang jenis serangga apa saja yang aman untuk,0.22999999999999998,positif
150,anggota komisi ix dpr ri alifudin mengatakan bahwa usulan serangga menjadi lauk makan bergizi gratis mbg perlu dikaji mendalam sebelum diterapkan menurut alifudin usulan itu harus dipertimbangkan dengan cermat agar tidak menimbulkan dampak negatif bagi anakanak yang,1.850371707708594e-17,positif
151,beww orang kalo lg sakit dikasi makan sehat yaa ttp aj sakit kalo gadiobatin yg harus diutamain ya akses kesehatan bkn makanannya skrg mbg mbg itu kalo diliat udh merata blm blm kann nentuin prioritas akses kesehatan amp pendidikan aja sulit dikira lg ternak hewan apa yak,-0.05575396825396826,negatif
152,sri mulyani mengatakan dengan berjalannya mbg akan banyak kesempatan terbuka bagi masyarakat untuk terlibat mulai dari rantai pasok bahan baku makanan hingga tahap penyediaan pada siswa di sekolah srimulyani mbg makanbergizigratis,0.13384615384615386,positif
153,mbak puanmaharaniri mohon mbg dipantau amp diawasi jangan sampai anakanak indonesia dikasi menu serangga jika hal itu sampai terjadi ntar apa kata dunia ngik,0.0,netral
154,ntah lah padahal di daerah t masih banyak sekolah yg tidak layak kenapa tidak itu saja dulu yg diprioritaskan emang dengan memberikan mbg ini anak akan jadi pintar gitu,0.23214285714285715,positif
155,jokoanwar sekolah buat para murid yg terpapar mbg,0.0,netral
156,lg mikir kenapa mbg harus program sendiri kenapa ga bareng sama kesehatan kalau tujuannya meningkatkan gizi meningkatkan kesehatan emang progam gaje lah,0.35,positif
157,twillightloid gue aja yg gak sekolah tinggi sudah bisa memprediksikan beberapa bulan lalu bahwa mbg ini akan menimbulkan masalah spt korupsi menu yg tdk cocok keracunan vendor tdk dibayar dsb,0.09,positif
158,citycafe bukan mikirin orang mikirin kira anggaran k untuk mbg nya itu gimana ngatur menunya ya,0.0,netral
159,mbg nih bertahan sampe kapan ye gw eneg bgt liat beritanya,0.10833333333333334,positif
160,rempahvoc asli penting drimana kata gw mbg ini better diserahkan kekantin sekolah drpd vendor ketahanan pangan belajar lagi deh sama konsep agrikultura di indo gimana ketahanan energi yakin mau lepas batubara org pltu aja nambah trs perumahan murah kualitas jga murahan btw,0.42350000000000004,positif
161,rohmiyatun aingriwehuy jangan lupakan beliau yang seolah sengaja ngundang asisten sty ke podcastnya guna ngalihin blundernya perkara mbg tempo hari,-0.125,negatif
162,pnsababil enak bener ngomong tingkatkan pendidikan padahal duit buat rehab atap sekolah yg roboh aja wajib dialihkan buat mbg,0.44999999999999996,positif
163,apabila program makan bergizi gratis ini akan ditingkatkan dari rp triliun naik ke rp triliun ditambah rp triliun bukan naik ke rp triliun menjadi rp triliun jumlah sentranya akan meningkat ujar sri mulyani srimulyani mbg makanbergizigratis,0.4,positif
164,tanyarlfes program mbg kan awalnya buat ngatasi stunting lah kalau anggaran kesehatan dan pendidikan bukan prioritas bakal lebih stunting dah ini yg harusnya prioritas malah gajadi prioritas kebolak balik,0.4375,positif
165,salut di selasela kesibukan membagikan susu dan cek mbg wapres kita masih sempat shooting film ke thailand,0.1,positif
166,pnsababil di tempatku jg udah listrik pintu otomatis dan ac dibatasi nyalanya dikit lagi lift gak boleh nyala harus naik tangga kayanya awas yh anak jaksel gak pada ngabisin porsi mbg,-0.1294642857142857,negatif
167,cakkancil kirainmbg itu proyek he he cuma omon kan,0.2857142857142857,positif
168,peningkatan kompetensi sumber daya manusia caranya bagaimana mbg yg tidak gratis amp tidak bergizi dan tidak diberikannya fasilitas pendidikan gratis amp berkualitas untuk seluruh rakyat indonesia walaupun ini negara kaya sda anda hanya omon omon pengkhianat perampok rakyat,0.15416666666666665,positif
169,pdhl yg diribetin mbg tuh ya sektor pendidikan dan kesehatan tempat pelaksana kegiatan dan pemantau makanan nya,0.0,netral
170,di mana ya pendidikan amp kesehatan jdi utama anjir baru tuh didukung sama ngasih mbg masa gini aja ga ngerti sih dut,0.1515151515151515,positif
171,gatau dah no komen emg bloon semua wni ini anjeng makan tuh mbg,-0.7999999999999999,negatif
172,anggota komisi vii dpr ri novita hardini mengatakan bahwa prinsip gotong royong dan swadaya untuk program makan bergizi gratis mbg yang dilakukan oleh pemerintah daerah harus dicontoh oleh daerah lainnya,0.1375,positif
173,pln sebagai bumn terus mendukung penuh program makan bergizi gratis mbg dari pemerintah ini dengan memastikan pasokan listrik andal di titik satuan pelayanan pemenuhan gizi sppg di provinsi astacitapemerintah makanbergizigratis anakgenerasiemas plndukungmbg,0.4,positif
174,pelaksanaan program mbg ini yang disampaikan camat taktakan dan kepala smk pgri kota serang,0.3,positif
175,pdemokrat preseden buruk telah terjadi akibat dari nyuruh anak² sekolah makan laron dan undurundur serta banyak mitra mbg tak dibayar ketua dpr ri puan maharani minta pemerintah evaluasi kepala bgn,-0.09999999999999992,negatif
176,setuju pol sm dosenku mbg prioritas utama sedangkan pendidikan n kesehatan jd pendukung tu jalan pikirnya gmn kocak gabisa bikin skala prioritas,0.20833333333333331,positif
177,joycurls bukannya dia udh mamam mbg ya,0.0,netral
178,karena pendidikan dan kesehatan udah jalan jadi ya biasa aja ada bpjs dan bos ga butuh banyak gebrakan mbg dari pangan impor banyak energi impor banyak perumahan banyak yg ga kejangkau pertahanan baru kemarin tni al latihan diejek ejek,0.15,positif
179,dsyantie dgn pemberian mbg insya allah mrk lebih punya tenaga utk menyeberang sungai dari sekolah menuju rumah sampe lulus sekolah,0.25,positif
180,pemerintah berencana meningkatkan alokasi dana untuk program makan bergizi gratis mbg sebesar rp triliun sehingga total anggaran dalam apbn mencapai rp triliun mbg apbn prabowogibran viral,0.2,positif
181,oalah pak belalang lagi puan maharani mengaku telah mendengar banyak mitra makan bergizi gratis mbg tak dibayar oleh badan gizi nasional bgn,0.45,positif
182,hansolo nah spt itu maksudnya balik lagi ke ide btp bhw mbg integrasikan saja dlm program perlindungan sosial masyarakat ada bansos berupa beras plus uang utk lauknya dan targetnya utamakan saja dulu warga yg benar membutuhkan miskin sesuai data di kemensos,-0.020312500000000004,negatif
183,sri mulyani bukabukaan pengusaha ini bakal untung besar karena mbg,0.0,netral
184,jadi isu apa yang lagi dipendam sama pemerintah berdasarkan tweet si agus ini a kasus penyuapan polisi b uang bpp sebagian besar dialokasikan ke mbg c d isi dong,0.5,positif
185,rasjawa untuk apa yg betul mbg,0.2857142857142857,positif
186,all this mess for mbg dasar nduut,-0.0875,negatif
187,mantrasmara cb usulin buat menu mbg,0.0,netral
188,sri mulyani beri sinyal tambah anggaran program mbg rp t,0.0,netral
189,nihayatul wafiroh soal usul kepala bgn serangga jadi menu mbg berikan gizi terbaik untuk anak,1.0,positif
190,twillightloid kira² brpa kalori amp karbohodrat yg dihasipkan dr mbg ini min,0.04999999999999999,positif
191,pdhl klo pndidikan bagus nyari kerja jg lebih enak maunya disuapin bansos aja sik mknya lbih milih mbg,0.41111111111111115,positif
192,mbg bikin puas semoga terus konsisten pak,0.375,positif
